2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106226
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106227
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106228
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106229
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106230
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106231
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106232
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106233
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106234
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104586
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104587
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104588
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104589
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104590
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104591
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104592
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104593
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104594
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104595
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104596
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104597
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104598
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104599
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104600
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104601
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104602
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104603
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104604
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104605
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104606
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106235
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106236
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106237
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106238
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106239
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104607
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104608
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104609
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106240
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106241
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106242
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106243
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106244
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106245
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106246
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106247
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106248
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106249
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [2] at offset 105090
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [2] at offset 105091
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [2] at offset 105092
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [2] at offset 105093
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [2] at offset 105094
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [2] at offset 105095
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [2] at offset 105096
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [2] at offset 105097
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [2] at offset 105098
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [2] at offset 105099
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [2] at offset 105100
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [2] at offset 105101
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [2] at offset 105102
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [2] at offset 105103
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [2] at offset 105104
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
